Time,Light,Sound,Engagement
4560,222.0,50.5,No
4570,222.0,43.3,No
4580,222.0,49.4,Somewhat
4590,222.0,50.0,Somewhat
4600,222.0,48.8,Somewhat
4610,222.0,49.8,No
4620,222.0,51.2,No
4630,222.0,50.6,No
4640,222.0,50.2,No
4650,222.0,50.1,No
4660,222.0,43.6,No
4670,222.0,50.8,No
4680,222.0,48.9,No
4690,222.0,47.9,No
4700,220.0,44.3,Somewhat
4710,222.0,49.6,Somewhat
4720,222.0,49.5,Somewhat
4730,222.0,46.5,Somewhat
4740,222.0,51.0,Somewhat
4750,222.0,48.1,Somewhat
4760,221.0,47.7,Somewhat
4770,222.0,47.4,Somewhat
4780,222.0,51.1,Somewhat
4790,222.0,48.8,Somewhat
4800,222.0,50.4,Somewhat
4810,222.0,51.6,Somewhat
4820,222.0,45.1,Somewhat
4830,222.0,49.3,Somewhat
4840,222.0,46.1,Somewhat
4850,222.0,46.9,Somewhat
4860,222.0,50.3,Somewhat
4870,222.0,45.3,No
4880,222.0,41.3,Somewhat
4890,222.0,48.9,Somewhat
4900,222.0,44.2,Somewhat
4910,222.0,46.7,Somewhat
4920,222.0,48.3,No
4930,222.0,46.2,No
4940,222.0,48.1,No
4950,222.0,48.2,Somewhat
4960,222.0,46.0,Somewhat
4970,222.0,47.1,Somewhat
4980,222.0,46.2,Somewhat
4990,222.0,49.4,No
5000,222.0,45.3,Somewhat
5010,221.0,48.0,Somewhat
5020,221.0,47.8,Somewhat
5030,221.0,48.3,Somewhat
5040,221.0,42.1,Somewhat
5050,221.0,41.4,Somewhat
5060,222.0,52.1,Somewhat
5070,222.0,48.3,Somewhat
5080,221.0,45.2,Somewhat
5090,222.0,51.2,Somewhat
5100,222.0,44.8,Somewhat
5110,221.0,49.7,Somewhat
5120,222.0,45.9,Somewhat
5130,222.0,39.8,Somewhat
5140,221.0,43.8,Somewhat
5150,221.0,48.9,Somewhat
5160,222.0,46.1,Somewhat
5170,222.0,42.5,Somewhat
5180,222.0,48.0,Yes
5190,222.0,36.6,Somewhat
5200,222.0,38.5,Somewhat
5210,221.0,43.2,Somewhat
5220,222.0,46.4,Somewhat
5230,222.0,39.3,Somewhat
5240,222.0,47.8,Somewhat
5250,222.0,46.7,Somewhat
5260,222.0,43.7,Somewhat
5270,223.0,45.8,Somewhat
5280,222.0,47.7,Somewhat
5290,222.0,46.0,Somewhat
5300,222.0,45.2,Somewhat
5310,223.0,45.0,No
5320,223.0,43.5,No
5330,223.0,39.4,No
5340,223.0,43.8,No
5350,223.0,47.2,No
5360,223.0,48.5,No
5370,223.0,44.9,No
5380,223.0,45.5,No
5390,223.0,42.9,No
5400,223.0,43.6,No
5410,223.0,35.7,Somewhat
5420,223.0,32.2,Somewhat
5430,223.0,40.6,Somewhat
5440,223.0,39.9,Somewhat
5450,223.0,44.7,Somewhat
5460,223.0,48.9,Somewhat
5470,223.0,45.2,Somewhat
5480,223.0,48.8,Somewhat
5490,223.0,47.1,Somewhat
5500,223.0,48.4,Somewhat
5510,223.0,43.1,Somewhat
5520,223.0,38.4,Somewhat
5530,223.0,51.5,Somewhat
5540,223.0,46.1,No
5550,223.0,49.4,No
5560,223.0,45.1,No
5570,223.0,34.4,No
5580,223.0,49.2,No
5590,223.0,47.5,No
5600,223.0,45.4,Somewhat
5610,223.0,48.5,Somewhat
5620,223.0,47.9,Somewhat
5630,223.0,49.1,Somewhat
5640,223.0,50.4,Somewhat
5650,223.0,46.1,Somewhat
5660,223.0,49.6,Somewhat
5670,223.0,45.5,Somewhat
5680,223.0,46.9,Somewhat
5690,223.0,44.6,Somewhat
5700,221.0,47.9,Somewhat
5710,221.0,45.4,Somewhat
5720,222.0,44.8,Somewhat
5730,221.0,41.5,Somewhat
5740,221.0,48.1,Somewhat
5750,221.0,45.5,Somewhat
5760,221.0,45.3,Somewhat
5770,221.0,48.0,Somewhat
5780,220.0,46.8,Somewhat
5790,221.0,47.0,Somewhat
5800,221.0,44.8,Somewhat
5810,221.0,44.5,Somewhat
5820,221.0,44.7,Somewhat
5830,221.0,48.6,Somewhat
5840,221.0,42.1,Somewhat
5850,221.0,42.5,Somewhat
5860,221.0,49.3,Somewhat
5870,221.0,47.7,Somewhat
5880,221.0,49.2,Somewhat
5890,222.0,49.4,No
5900,223.0,48.7,No
5910,223.0,49.1,No
5920,223.0,50.1,Somewhat
5930,223.0,47.4,Somewhat
5940,223.0,52.4,Somewhat
5950,223.0,45.0,Somewhat
5960,223.0,49.1,Somewhat
5970,223.0,48.8,Somewhat
5980,223.0,49.9,Somewhat
5990,223.0,46.1,Somewhat
6000,223.0,41.4,Somewhat
6010,223.0,38.8,Somewhat
6020,223.0,41.8,Somewhat
6030,223.0,48.6,Somewhat
6040,223.0,46.2,Somewhat
6050,223.0,48.3,Somewhat
6060,223.0,45.4,Yes
6070,223.0,39.7,Somewhat
6080,223.0,45.1,Somewhat
6090,206.0,49.1,Somewhat
6100,212.0,48.8,Somewhat
6110,219.0,44.8,Somewhat
6120,218.0,49.0,Somewhat
6130,218.0,49.4,Somewhat
6140,219.0,44.5,Somewhat
6150,218.0,45.1,Somewhat
6160,220.0,43.4,Somewhat
6170,220.0,45.3,Somewhat
6180,219.0,47.2,No
6190,219.0,47.6,No
6200,219.0,48.0,No
6210,219.0,43.1,Somewhat
6220,221.0,47.2,Somewhat
6230,221.0,49.0,Somewhat
6240,222.0,48.4,Somewhat
6250,221.0,47.7,Somewhat
6260,222.0,49.8,Somewhat
6270,221.0,45.2,Somewhat
6280,221.0,49.6,Somewhat
6290,221.0,50.0,Somewhat
6300,221.0,35.5,Somewhat
6310,222.0,40.4,Somewhat
6320,222.0,39.5,Somewhat
6330,221.0,42.6,Somewhat
6340,222.0,50.0,Somewhat
6350,222.0,50.8,Yes
6360,222.0,43.8,Yes
6370,222.0,47.9,Somewhat
6380,220.0,49.8,Somewhat
6390,221.0,44.5,Somewhat
6400,221.0,48.9,Somewhat
6410,221.0,49.2,Somewhat
6420,221.0,48.5,Somewhat
6430,221.0,44.0,Somewhat
6440,221.0,41.2,Somewhat
6450,221.0,46.8,Somewhat
6460,221.0,50.0,Somewhat
6470,221.0,49.2,Somewhat
6480,223.0,48.2,Somewhat
6490,222.0,50.1,Somewhat
6500,221.0,50.6,No
6510,221.0,45.5,No
6520,223.0,46.1,No
6530,223.0,48.1,No
6540,223.0,51.0,No
6550,222.0,38.1,Somewhat
6560,223.0,51.4,Somewhat
6570,223.0,49.1,Somewhat
6580,223.0,46.5,Somewhat
6590,223.0,44.5,Somewhat
