LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
10.2,44.509,223518,2019-04-01 15:08:44:194
10.1,44.647,224018,2019-04-01 15:08:44:694
10.2,49.444,224517,2019-04-01 15:08:45:193
10,50.26,225017,2019-04-01 15:08:45:693
9.9,45.429,225517,2019-04-01 15:08:46:193
9.9,46.542,226018,2019-04-01 15:08:46:694
10.1,47.069,226517,2019-04-01 15:08:47:193
10.1,45.666,227018,2019-04-01 15:08:47:694
9.8,45.739,227517,2019-04-01 15:08:48:193
10.2,44.275,228017,2019-04-01 15:08:48:693
10.1,44.906,228518,2019-04-01 15:08:49:194
10.1,45.898,229018,2019-04-01 15:08:49:694
10,42.899,229517,2019-04-01 15:08:50:193
10.4,35.197,230017,2019-04-01 15:08:50:693
10.2,45.87,230518,2019-04-01 15:08:51:194
10.4,41.482,231018,2019-04-01 15:08:51:694
10.3,50.82,231517,2019-04-01 15:08:52:193
10.2,47.344,232018,2019-04-01 15:08:52:694
10,43.928,232518,2019-04-01 15:08:53:194
10.2,45.049,233018,2019-04-01 15:08:53:694
10.2,44.442,233517,2019-04-01 15:08:54:193
10.2,36.135,234017,2019-04-01 15:08:54:693
10.2,35.779,234518,2019-04-01 15:08:55:194
10.4,51.335,235018,2019-04-01 15:08:55:694
10.2,44.699,235517,2019-04-01 15:08:56:193
10.3,42.608,236017,2019-04-01 15:08:56:693
10.4,43.95,236517,2019-04-01 15:08:57:193
10,40.86,237017,2019-04-01 15:08:57:693
10.5,44.811,237518,2019-04-01 15:08:58:194
10,35.378,238018,2019-04-01 15:08:58:694
10.2,45.204,238518,2019-04-01 15:08:59:194
10.4,47.197,239018,2019-04-01 15:08:59:694
10.2,46.427,239517,2019-04-01 15:09:00:193
10.2,44.994,240018,2019-04-01 15:09:00:694
10.2,44.99,240518,2019-04-01 15:09:01:194
10.2,44.992,241018,2019-04-01 15:09:01:694
10.2,45.663,241518,2019-04-01 15:09:02:194
10.3,35.272,242018,2019-04-01 15:09:02:694
10.3,45.107,242517,2019-04-01 15:09:03:193
10.4,35.428,243017,2019-04-01 15:09:03:693
10.2,35.101,243518,2019-04-01 15:09:04:194
10.2,36.605,244018,2019-04-01 15:09:04:694
10.2,45.789,244517,2019-04-01 15:09:05:193
10.5,40.719,245018,2019-04-01 15:09:05:694
10.3,39.659,245518,2019-04-01 15:09:06:194
10.4,40.699,246017,2019-04-01 15:09:06:693
10.2,36.374,246517,2019-04-01 15:09:07:193
9.9,47.893,247018,2019-04-01 15:09:07:694
10.2,47.246,247517,2019-04-01 15:09:08:193
10.2,46.109,248017,2019-04-01 15:09:08:693
10.2,37.156,248518,2019-04-01 15:09:09:194
9.9,46.346,249018,2019-04-01 15:09:09:694
10.5,43.897,249517,2019-04-01 15:09:10:193
10.2,37.668,250018,2019-04-01 15:09:10:694
10.2,42.705,250518,2019-04-01 15:09:11:194
10.2,46.164,251018,2019-04-01 15:09:11:694
10.2,46.553,251517,2019-04-01 15:09:12:193
10.2,42.127,252018,2019-04-01 15:09:12:694
10.2,45.227,252518,2019-04-01 15:09:13:194
10.2,54.669,253017,2019-04-01 15:09:13:693
10.2,46.814,253517,2019-04-01 15:09:14:193
10.2,42.294,254018,2019-04-01 15:09:14:694
10.2,45.821,254518,2019-04-01 15:09:15:194
10.4,45.653,255018,2019-04-01 15:09:15:694
10.2,45.074,255517,2019-04-01 15:09:16:193
10.2,46.167,256017,2019-04-01 15:09:16:693
10.2,43.87,256518,2019-04-01 15:09:17:194
10.2,42.199,257018,2019-04-01 15:09:17:694
10.2,43.694,257518,2019-04-01 15:09:18:194
10.2,45.698,258017,2019-04-01 15:09:18:693
10.2,47.844,258517,2019-04-01 15:09:19:193
10.2,43.654,259017,2019-04-01 15:09:19:693
10.2,46.216,259518,2019-04-01 15:09:20:194
10.2,42.834,260018,2019-04-01 15:09:20:694
10.7,40.805,260518,2019-04-01 15:09:21:194
10.7,39.434,261017,2019-04-01 15:09:21:693
10.7,40.034,261517,2019-04-01 15:09:22:193
10.7,36.066,262017,2019-04-01 15:09:22:693
10.5,44.578,262517,2019-04-01 15:09:23:193
10.2,44.975,263018,2019-04-01 15:09:23:694
