sep=;
LIGHT (lux);SOUND LEVEL (dB);Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
234.0;48.939;148525;2019-04-02 13:36:55:776
234.0;55.102;149026;2019-04-02 13:36:56:277
234.0;46.845;149525;2019-04-02 13:36:56:776
234.0;40.898;150025;2019-04-02 13:36:57:276
234.0;47.847;150524;2019-04-02 13:36:57:775
234.0;51.17;151026;2019-04-02 13:36:58:277
234.0;47.493;151526;2019-04-02 13:36:58:777
234.0;51.226;152025;2019-04-02 13:36:59:276
234.0;42.031;152525;2019-04-02 13:36:59:776
234.0;53.332;153025;2019-04-02 13:37:00:276
234.0;47.466;153526;2019-04-02 13:37:00:777
234.0;48.427;154025;2019-04-02 13:37:01:276
234.0;48.295;154525;2019-04-02 13:37:01:776
234.0;38.04;155026;2019-04-02 13:37:02:277
234.0;34.452;155525;2019-04-02 13:37:02:776
234.0;37.228;156025;2019-04-02 13:37:03:276
234.0;35.303;156525;2019-04-02 13:37:03:776
234.0;34.858;157026;2019-04-02 13:37:04:277
234.0;33.334;157525;2019-04-02 13:37:04:776
234.0;32.138;158025;2019-04-02 13:37:05:276
234.0;32.835;158525;2019-04-02 13:37:05:776
234.0;43.779;159025;2019-04-02 13:37:06:276
234.0;58.109;159525;2019-04-02 13:37:06:776
234.0;55.048;160025;2019-04-02 13:37:07:276
234.0;58.081;160525;2019-04-02 13:37:07:776
234.0;48.204;161026;2019-04-02 13:37:08:277
234.0;34.719;161527;2019-04-02 13:37:08:778
234.0;37.458;162026;2019-04-02 13:37:09:277
234.0;54.099;162525;2019-04-02 13:37:09:776
234.0;58.718;163025;2019-04-02 13:37:10:276
234.0;53.273;163525;2019-04-02 13:37:10:776
234.0;55.398;164025;2019-04-02 13:37:11:276
234.0;54.385;164525;2019-04-02 13:37:11:776
234.0;54.159;165025;2019-04-02 13:37:12:276
234.0;37.572;165526;2019-04-02 13:37:12:777
234.0;52.609;166026;2019-04-02 13:37:13:277
234.0;45.91;166525;2019-04-02 13:37:13:776
234.0;45.735;167025;2019-04-02 13:37:14:276
229.0;62.325;167525;2019-04-02 13:37:14:776
234.0;52.994;168025;2019-04-02 13:37:15:276
234.0;57.905;168526;2019-04-02 13:37:15:777
234.0;48.48;169026;2019-04-02 13:37:16:277
234.0;56.742;169527;2019-04-02 13:37:16:778
234.0;55.462;170025;2019-04-02 13:37:17:276
234.0;39.872;170525;2019-04-02 13:37:17:776
234.0;52.168;171025;2019-04-02 13:37:18:276
234.0;55.868;171526;2019-04-02 13:37:18:777
234.0;57.405;172027;2019-04-02 13:37:19:278
234.0;58.781;172525;2019-04-02 13:37:19:776
234.0;55.647;173026;2019-04-02 13:37:20:277
234.0;40.948;173526;2019-04-02 13:37:20:777
234.0;49.71;174026;2019-04-02 13:37:21:277
234.0;54.027;174526;2019-04-02 13:37:21:777
234.0;52.478;175025;2019-04-02 13:37:22:276
234.0;52.819;175525;2019-04-02 13:37:22:776
234.0;54.722;176025;2019-04-02 13:37:23:276
