LIGHT (lux),SOUND LEVEL (dB),Time,YYYY-MO-DD HH-MI-SS_SSS
521,53.77,1431019,2019-03-12 12:25:06:952
521,40.89,1431519,2019-03-12 12:25:07:452
521,50.671,1432019,2019-03-12 12:25:07:952
521,55.057,1432519,2019-03-12 12:25:08:452
521,52.941,1433020,2019-03-12 12:25:08:953
521,52.777,1433519,2019-03-12 12:25:09:452
521,54.268,1434019,2019-03-12 12:25:09:952
521,52.794,1434523,2019-03-12 12:25:10:456
521,52.358,1435019,2019-03-12 12:25:10:952
521,54.557,1435519,2019-03-12 12:25:11:452
521,55.629,1436019,2019-03-12 12:25:11:952
521,57.112,1436519,2019-03-12 12:25:12:452
521,56.673,1437019,2019-03-12 12:25:12:952
521,55.692,1437523,2019-03-12 12:25:13:456
521,57.654,1438018,2019-03-12 12:25:13:951
521,54.945,1438520,2019-03-12 12:25:14:453
521,55.757,1439019,2019-03-12 12:25:14:952
527,57.496,1439519,2019-03-12 12:25:15:452
519,53.638,1440019,2019-03-12 12:25:15:952
521,54.716,1440518,2019-03-12 12:25:16:451
527,52.358,1441019,2019-03-12 12:25:16:952
527,53.434,1441519,2019-03-12 12:25:17:452
527,46.447,1442018,2019-03-12 12:25:17:951
510,50.268,1442519,2019-03-12 12:25:18:452
483,41.079,1443019,2019-03-12 12:25:18:952
501,37.102,1443519,2019-03-12 12:25:19:452
472,48.028,1444018,2019-03-12 12:25:19:951
510,53.268,1444518,2019-03-12 12:25:20:451
501,46.827,1445018,2019-03-12 12:25:20:951
510,53.854,1445518,2019-03-12 12:25:21:451
501,51.851,1446020,2019-03-12 12:25:21:953
521,46.342,1446518,2019-03-12 12:25:22:451
521,51.11,1447021,2019-03-12 12:25:22:954
521,52.668,1447520,2019-03-12 12:25:23:453
521,53.108,1448019,2019-03-12 12:25:23:952
521,47.07,1448519,2019-03-12 12:25:24:452
521,52.135,1449019,2019-03-12 12:25:24:952
521,51.741,1449519,2019-03-12 12:25:25:452
521,52.203,1450019,2019-03-12 12:25:25:952
521,47.658,1450519,2019-03-12 12:25:26:452
521,48.038,1451019,2019-03-12 12:25:26:952
521,49.106,1451519,2019-03-12 12:25:27:452
521,55.534,1452022,2019-03-12 12:25:27:955
521,51.271,1452519,2019-03-12 12:25:28:452
521,56.389,1453019,2019-03-12 12:25:28:952
521,54.062,1453519,2019-03-12 12:25:29:452
521,55.251,1454019,2019-03-12 12:25:29:952
521,54.263,1454519,2019-03-12 12:25:30:452
521,54.415,1455019,2019-03-12 12:25:30:952
521,54.897,1455520,2019-03-12 12:25:31:453
521,56.526,1456019,2019-03-12 12:25:31:952
521,56.571,1456518,2019-03-12 12:25:32:451
521,56.141,1457019,2019-03-12 12:25:32:952
521,53.372,1457520,2019-03-12 12:25:33:453
521,55.85,1458018,2019-03-12 12:25:33:951
521,54.748,1458519,2019-03-12 12:25:34:452
521,49.892,1459019,2019-03-12 12:25:34:952
521,47.918,1459521,2019-03-12 12:25:35:454
521,48.199,1460019,2019-03-12 12:25:35:952
521,56.59,1460519,2019-03-12 12:25:36:452
521,55.081,1461022,2019-03-12 12:25:36:955
521,56.599,1461519,2019-03-12 12:25:37:452
521,52.702,1462019,2019-03-12 12:25:37:952
521,51.091,1462519,2019-03-12 12:25:38:452
521,50.903,1463019,2019-03-12 12:25:38:952
521,54.775,1463518,2019-03-12 12:25:39:451
521,54.678,1464022,2019-03-12 12:25:39:955
521,52.513,1464519,2019-03-12 12:25:40:452
521,55.224,1465018,2019-03-12 12:25:40:951
521,42.581,1465519,2019-03-12 12:25:41:452
521,54.257,1466019,2019-03-12 12:25:41:952
521,56.513,1466519,2019-03-12 12:25:42:452
521,49.737,1467018,2019-03-12 12:25:42:951
521,55.573,1467519,2019-03-12 12:25:43:452
521,53.459,1468019,2019-03-12 12:25:43:952
521,55.878,1468519,2019-03-12 12:25:44:452
521,52.321,1469019,2019-03-12 12:25:44:952
521,54.069,1469519,2019-03-12 12:25:45:452
521,46.959,1470019,2019-03-12 12:25:45:952
521,54.637,1470519,2019-03-12 12:25:46:452
521,56.124,1471019,2019-03-12 12:25:46:952
521,53.778,1471518,2019-03-12 12:25:47:451
521,54.98,1472019,2019-03-12 12:25:47:952
521,53.293,1472519,2019-03-12 12:25:48:452
521,52.57,1473019,2019-03-12 12:25:48:952
521,56.507,1473521,2019-03-12 12:25:49:454
521,53.945,1474019,2019-03-12 12:25:49:952
521,56.15,1474519,2019-03-12 12:25:50:452
521,56.023,1475020,2019-03-12 12:25:50:953
521,50.14,1475519,2019-03-12 12:25:51:452
521,37.814,1476019,2019-03-12 12:25:51:952
521,54.555,1476519,2019-03-12 12:25:52:452
521,56.689,1477019,2019-03-12 12:25:52:952
521,55.496,1477519,2019-03-12 12:25:53:452
521,53.703,1478019,2019-03-12 12:25:53:952
521,55.736,1478520,2019-03-12 12:25:54:453
521,50.599,1479019,2019-03-12 12:25:54:952
521,54.075,1479519,2019-03-12 12:25:55:452
521,54.693,1480019,2019-03-12 12:25:55:952
521,55.944,1480520,2019-03-12 12:25:56:453
521,56.017,1481019,2019-03-12 12:25:56:952
521,51.847,1481520,2019-03-12 12:25:57:453
521,51.469,1482019,2019-03-12 12:25:57:952
521,50.293,1482518,2019-03-12 12:25:58:451
521,52.94,1483019,2019-03-12 12:25:58:952
521,56.565,1483520,2019-03-12 12:25:59:453
521,48.893,1484019,2019-03-12 12:25:59:952
521,57.237,1484519,2019-03-12 12:26:00:452
521,57.104,1485019,2019-03-12 12:26:00:952
521,54.634,1485518,2019-03-12 12:26:01:451
521,55.493,1486019,2019-03-12 12:26:01:952
521,55.62,1486519,2019-03-12 12:26:02:452
521,58.97,1487019,2019-03-12 12:26:02:952
521,53.83,1487519,2019-03-12 12:26:03:452
521,55.658,1488019,2019-03-12 12:26:03:952
521,55.653,1488519,2019-03-12 12:26:04:452
521,55.162,1489019,2019-03-12 12:26:04:952
521,56.436,1489519,2019-03-12 12:26:05:452
521,55.811,1490019,2019-03-12 12:26:05:952
521,54.179,1490519,2019-03-12 12:26:06:452
521,50.701,1491019,2019-03-12 12:26:06:952
521,54.51,1491519,2019-03-12 12:26:07:452
521,51.22,1492019,2019-03-12 12:26:07:952
521,39.123,1492519,2019-03-12 12:26:08:452
521,56.793,1493018,2019-03-12 12:26:08:951
521,56.718,1493519,2019-03-12 12:26:09:452
521,56.576,1494018,2019-03-12 12:26:09:951
521,55.199,1494518,2019-03-12 12:26:10:451
521,54.63,1495018,2019-03-12 12:26:10:951
521,53.159,1495518,2019-03-12 12:26:11:451
521,54.945,1496019,2019-03-12 12:26:11:952
521,53.495,1496519,2019-03-12 12:26:12:452
521,50.149,1497019,2019-03-12 12:26:12:952
521,50.916,1497519,2019-03-12 12:26:13:452
521,55.623,1498019,2019-03-12 12:26:13:952
521,55.013,1498519,2019-03-12 12:26:14:452
521,54.758,1499019,2019-03-12 12:26:14:952
521,55.065,1499521,2019-03-12 12:26:15:454
521,52.655,1500019,2019-03-12 12:26:15:952
521,55.987,1500518,2019-03-12 12:26:16:451
521,54.463,1501019,2019-03-12 12:26:16:952
521,54.829,1501519,2019-03-12 12:26:17:452
521,49.264,1502019,2019-03-12 12:26:17:952
521,47.449,1502519,2019-03-12 12:26:18:452
521,55.785,1503019,2019-03-12 12:26:18:952
521,53.14,1503520,2019-03-12 12:26:19:453
521,51.076,1504019,2019-03-12 12:26:19:952
521,50.851,1504519,2019-03-12 12:26:20:452
521,49.421,1505019,2019-03-12 12:26:20:952
519,40.037,1505519,2019-03-12 12:26:21:452
519,54.76,1506019,2019-03-12 12:26:21:952
521,56.527,1506520,2019-03-12 12:26:22:453
521,51.407,1507020,2019-03-12 12:26:22:953
521,55.494,1507519,2019-03-12 12:26:23:452
521,55.686,1508019,2019-03-12 12:26:23:952
521,55.149,1508519,2019-03-12 12:26:24:452
521,51.449,1509019,2019-03-12 12:26:24:952
521,51.986,1509519,2019-03-12 12:26:25:452
521,53.911,1510019,2019-03-12 12:26:25:952
521,53.501,1510519,2019-03-12 12:26:26:452
521,45.523,1511019,2019-03-12 12:26:26:952
521,48.134,1511519,2019-03-12 12:26:27:452
521,50.435,1512019,2019-03-12 12:26:27:952
521,31.385,1512519,2019-03-12 12:26:28:452
521,48.15,1513019,2019-03-12 12:26:28:952
521,34.261,1513519,2019-03-12 12:26:29:452
521,32.104,1514019,2019-03-12 12:26:29:952
521,35.49,1514519,2019-03-12 12:26:30:452
521,32.888,1515019,2019-03-12 12:26:30:952
521,55.367,1515519,2019-03-12 12:26:31:452
521,53.625,1516019,2019-03-12 12:26:31:952
521,54.547,1516519,2019-03-12 12:26:32:452
521,52.574,1517019,2019-03-12 12:26:32:952
521,56.916,1517519,2019-03-12 12:26:33:452
521,53.666,1518019,2019-03-12 12:26:33:952
521,57.118,1518519,2019-03-12 12:26:34:452
521,53.546,1519019,2019-03-12 12:26:34:952
521,48.817,1519518,2019-03-12 12:26:35:451
521,53.606,1520019,2019-03-12 12:26:35:952
521,46.285,1520520,2019-03-12 12:26:36:453
519,56.11,1521018,2019-03-12 12:26:36:951
490,59.241,1521519,2019-03-12 12:26:37:452
512,54.63,1522019,2019-03-12 12:26:37:952
512,48.564,1522519,2019-03-12 12:26:38:452
519,57.075,1523019,2019-03-12 12:26:38:952
512,55.705,1523518,2019-03-12 12:26:39:451
510,53.632,1524018,2019-03-12 12:26:39:951
510,56.162,1524519,2019-03-12 12:26:40:452
510,58.281,1525019,2019-03-12 12:26:40:952
519,57.301,1525519,2019-03-12 12:26:41:452
519,52.164,1526019,2019-03-12 12:26:41:952
519,57.314,1526522,2019-03-12 12:26:42:455
519,54.108,1527019,2019-03-12 12:26:42:952
519,48.221,1527521,2019-03-12 12:26:43:454
519,43.119,1528019,2019-03-12 12:26:43:952
519,57.652,1528519,2019-03-12 12:26:44:452
501,56.076,1529019,2019-03-12 12:26:44:952
499,54.532,1529518,2019-03-12 12:26:45:451
521,55.155,1530019,2019-03-12 12:26:45:952
512,55.573,1530519,2019-03-12 12:26:46:452
510,55.158,1531019,2019-03-12 12:26:46:952
501,50.67,1531519,2019-03-12 12:26:47:452
501,53.745,1532019,2019-03-12 12:26:47:952
501,54.528,1532518,2019-03-12 12:26:48:451
501,52.64,1533019,2019-03-12 12:26:48:952
501,57.142,1533519,2019-03-12 12:26:49:452
501,48.042,1534019,2019-03-12 12:26:49:952
501,48.816,1534520,2019-03-12 12:26:50:453
501,54.476,1535019,2019-03-12 12:26:50:952
501,39.885,1535519,2019-03-12 12:26:51:452
501,54.045,1536020,2019-03-12 12:26:51:953
501,54.669,1536519,2019-03-12 12:26:52:452
501,52.881,1537019,2019-03-12 12:26:52:952
512,47.659,1537519,2019-03-12 12:26:53:452
521,54.368,1538019,2019-03-12 12:26:53:952
512,52.214,1538519,2019-03-12 12:26:54:452
519,53.531,1539019,2019-03-12 12:26:54:952
512,54.296,1539519,2019-03-12 12:26:55:452
512,55.65,1540019,2019-03-12 12:26:55:952
512,55.102,1540519,2019-03-12 12:26:56:452
512,52.04,1541018,2019-03-12 12:26:56:951
512,53.218,1541519,2019-03-12 12:26:57:452
512,51.645,1542019,2019-03-12 12:26:57:952
512,49.243,1542519,2019-03-12 12:26:58:452
512,52.688,1543019,2019-03-12 12:26:58:952
519,47.697,1543519,2019-03-12 12:26:59:452
519,39.723,1544019,2019-03-12 12:26:59:952
519,34.791,1544519,2019-03-12 12:27:00:452
519,38.767,1545019,2019-03-12 12:27:00:952
519,52.573,1545518,2019-03-12 12:27:01:451
519,51.532,1546018,2019-03-12 12:27:01:951
519,42.509,1546519,2019-03-12 12:27:02:452
519,47.319,1547018,2019-03-12 12:27:02:951
519,45.547,1547520,2019-03-12 12:27:03:453
512,44.865,1548019,2019-03-12 12:27:03:952
512,38.166,1548523,2019-03-12 12:27:04:456
519,36.129,1549019,2019-03-12 12:27:04:952
519,38.355,1549520,2019-03-12 12:27:05:453
519,55.867,1550019,2019-03-12 12:27:05:952
521,53.302,1550519,2019-03-12 12:27:06:452
519,55.347,1551019,2019-03-12 12:27:06:952
519,49.603,1551520,2019-03-12 12:27:07:453
519,43.374,1552019,2019-03-12 12:27:07:952
519,54.333,1552520,2019-03-12 12:27:08:453
519,57.609,1553019,2019-03-12 12:27:08:952
519,39.089,1553519,2019-03-12 12:27:09:452
519,33.44,1554019,2019-03-12 12:27:09:952
519,46.173,1554519,2019-03-12 12:27:10:452
519,33.215,1555018,2019-03-12 12:27:10:951
521,41.391,1555519,2019-03-12 12:27:11:452
519,47.196,1556021,2019-03-12 12:27:11:954
521,38.142,1556519,2019-03-12 12:27:12:452
